n_pcs,spearman,rmse,mae
50,0.346907705703965,2.5463167297021516,2.0199346914775993
100,0.3370255265148608,2.615463478255341,2.064571336972577
200,0.35069791514321574,2.6044773760859536,2.058637326330253
500,0.3596040186945686,2.5815062881124335,2.046221319765527
